s,d,yaw,pitch,dyaw,dpitch,qdist
0.4180,2808.2,105.244,17.171,0.0043,0.4581,0.4581
0.4190,2811.6,105.251,16.695,0.0062,0.4760,0.4760
0.4200,2815.1,105.267,16.237,0.0159,0.4584,0.4587
0.4210,2818.7,105.291,15.801,0.0248,0.4360,0.4367
0.4220,2822.3,105.324,15.531,0.0325,0.2698,0.2717
0.4230,2825.9,105.363,15.398,0.0391,0.1332,0.1389
0.4240,2829.6,105.407,15.350,0.0444,0.0477,0.0652
0.4250,2833.3,105.456,15.324,0.0486,0.0267,0.0554
0.4260,2837.1,105.507,15.294,0.0515,0.0296,0.0594
0.4270,2840.9,105.561,15.257,0.0534,0.0369,0.0649
0.4280,2844.8,105.615,15.215,0.0543,0.0420,0.0687
0.4290,2848.7,105.670,15.154,0.0546,0.0616,0.0824
0.4300,2852.7,105.724,15.086,0.0545,0.0678,0.0870
0.4310,2856.7,105.778,15.022,0.0542,0.0635,0.0834
0.4320,2860.8,105.832,14.969,0.0539,0.0531,0.0756
0.4330,2864.9,105.886,14.917,0.0539,0.0518,0.0748
0.4340,2869.1,105.941,14.889,0.0545,0.0285,0.0615
0.4350,2873.4,105.997,14.884,0.0558,0.0052,0.0560
0.4360,2877.7,106.055,14.895,0.0581,0.0118,0.0593
0.4370,2882.0,106.116,14.951,0.0618,0.0557,0.0832
0.4380,2886.5,106.184,15.086,0.0670,0.1344,0.1502
0.4390,2890.9,106.258,15.328,0.0741,0.2420,0.2531
0.4400,2895.5,106.341,15.747,0.0832,0.4199,0.4281
0.4410,2900.1,106.436,16.443,0.0948,0.6957,0.7021
0.4420,2904.7,106.545,17.438,0.1091,0.9951,1.0011
0.4430,2909.4,106.671,18.398,0.1262,0.9597,0.9680
0.4440,2914.2,106.817,19.030,0.1462,0.6322,0.6489
0.4450,2919.1,106.986,19.230,0.1688,0.2003,0.2620
0.4460,2924.0,107.180,18.972,0.1936,0.2585,0.3230
0.4470,2929.0,107.399,18.382,0.2198,0.5901,0.6297
0.4480,2934.0,107.646,18.121,0.2464,0.2609,0.3588
0.4490,2939.1,107.918,18.143,0.2724,0.0218,0.2733
0.4500,2944.3,108.215,18.076,0.2970,0.0668,0.3044
0.4510,2949.6,108.535,17.954,0.3195,0.1222,0.3421
0.4520,2954.9,108.874,17.892,0.3396,0.0619,0.3452
0.4530,2960.3,109.231,17.941,0.3573,0.0490,0.3606
0.4540,2965.7,109.604,18.084,0.3731,0.1429,0.3995
0.4550,2971.3,109.992,18.296,0.3875,0.2120,0.4417
0.4560,2976.9,110.393,18.513,0.4014,0.2170,0.4563
0.4570,2982.6,110.809,18.728,0.4154,0.2157,0.4681
0.4580,2988.4,111.239,18.999,0.4301,0.2703,0.5080
0.4590,2994.2,111.685,19.296,0.4457,0.2969,0.5356
0.4600,3000.1,112.147,19.463,0.4619,0.1669,0.4912
0.4610,3006.4,112.625,19.501,0.4780,0.0383,0.4795
0.4620,3013.1,113.117,19.501,0.4923,0.0003,0.4923
0.4630,3020.3,113.620,19.491,0.5027,0.0099,0.5028
0.4640,3028.1,114.126,19.421,0.5068,0.0696,0.5115
0.4650,3036.4,114.629,18.819,0.5024,0.6021,0.7842
0.4660,3045.1,115.117,18.128,0.4879,0.6907,0.8457
0.4670,3054.4,115.580,17.548,0.4630,0.5798,0.7419
0.4680,3064.1,116.009,17.093,0.4295,0.4559,0.6263
0.4690,3074.4,116.400,16.712,0.3907,0.3804,0.5453
0.4700,3085.1,116.750,16.581,0.3507,0.1314,0.3745
0.4710,3096.3,117.064,16.248,0.3134,0.3326,0.4570
0.4720,3107.9,117.346,15.908,0.2818,0.3398,0.4414
0.4730,3120.1,117.602,15.621,0.2568,0.2878,0.3857
0.4740,3132.7,117.840,15.492,0.2380,0.1291,0.2707
0.4750,3145.7,118.064,15.421,0.2235,0.0705,0.2344
0.4760,3159.2,118.275,15.268,0.2111,0.1528,0.2606
0.4770,3173.2,118.474,15.187,0.1992,0.0813,0.2152
0.4780,3187.6,118.662,15.027,0.1877,0.1604,0.2469
0.4790,3202.4,118.840,14.918,0.1778,0.1083,0.2081
0.4800,3217.7,119.010,14.818,0.1704,0.1009,0.1980
0.4810,3233.4,119.176,14.635,0.1661,0.1830,0.2471
0.4820,3249.5,119.341,14.469,0.1648,0.1652,0.2333
0.4830,3266.1,119.506,14.400,0.1650,0.0694,0.1790
0.4840,3283.1,119.670,14.521,0.1640,0.1209,0.2038
0.4850,3300.5,119.829,14.609,0.1589,0.0877,0.1815
0.4860,3318.3,119.975,14.631,0.1459,0.0223,0.1476
0.4870,3336.5,120.096,14.660,0.1211,0.0287,0.1244
0.4880,3355.1,120.176,14.653,0.0798,0.0066,0.0801
0.4890,3374.1,120.196,14.252,0.0201,0.4006,0.4011
0.4900,3393.5,120.137,13.977,0.0583,0.2750,0.2811
0.4910,3413.3,119.984,14.142,0.1530,0.1647,0.2248
0.4920,3433.5,119.726,14.324,0.2581,0.1820,0.3158
0.4930,3454.0,119.362,14.242,0.3643,0.0816,0.3734
0.4940,3475.0,118.901,14.196,0.4607,0.0468,0.4630
0.4950,3496.2,118.365,14.028,0.5362,0.1676,0.5618
0.4960,3517.9,117.782,14.240,0.5830,0.2122,0.6204
0.4970,3539.9,117.185,14.536,0.5977,0.2953,0.6666
0.4980,3562.3,116.603,14.291,0.5821,0.2450,0.6315
0.4990,3585.0,116.061,14.530,0.5416,0.2398,0.5923
0.5000,3608.1,115.577,14.755,0.4839,0.2246,0.5335
0.5010,3631.5,115.160,14.915,0.4171,0.1605,0.4469
0.5020,3655.3,114.812,14.857,0.3479,0.0586,0.3528
0.5030,3679.3,114.530,15.503,0.2823,0.6459,0.7049
0.5040,3703.8,114.306,16.265,0.2239,0.7622,0.7944
0.5050,3728.5,114.130,15.685,0.1758,0.5798,0.6059
0.5060,3753.6,113.990,14.890,0.1403,0.7952,0.8074
0.5070,3778.9,113.872,14.478,0.1178,0.4120,0.4285
0.5080,3804.6,113.764,14.638,0.1082,0.1600,0.1932
0.5090,3830.6,113.657,14.525,0.1068,0.1127,0.1553
0.5100,3856.9,113.551,14.860,0.1055,0.3351,0.3513
0.5110,3883.5,113.456,15.840,0.0956,0.9802,0.9849
0.5120,3910.4,113.388,15.761,0.0674,0.0799,0.1046
0.5130,3937.6,113.372,15.102,0.0163,0.6588,0.6590
0.5140,3965.1,113.427,14.885,0.0547,0.2165,0.2233
0.5150,3992.8,113.563,14.909,0.1359,0.0238,0.1379
0.5160,4020.8,113.773,15.143,0.2102,0.2339,0.3145
0.5170,4049.1,114.030,15.169,0.2577,0.0257,0.2590
0.5180,4077.7,114.290,15.080,0.2597,0.0891,0.2745
0.5190,4106.5,114.495,14.545,0.2048,0.5344,0.5723
0.5200,4135.6,114.586,15.036,0.0911,0.4905,0.4989
0.5210,4164.9,114.511,15.287,0.0752,0.2516,0.2626
0.5220,4194.5,114.234,14.466,0.2765,0.8214,0.8667
0.5230,4224.3,113.745,14.158,0.4889,0.3083,0.5780
0.5240,4254.4,113.056,14.761,0.6895,0.6032,0.9160
0.5250,4284.7,112.198,15.541,0.8582,0.7806,1.1600
0.5260,4315.2,111.215,14.541,0.9830,1.0000,1.4022
0.5270,4345.9,110.157,14.077,1.0577,0.4640,1.1550
0.5280,4376.9,109.071,14.194,1.0863,0.1167,1.0925
0.5290,4408.1,107.990,14.178,1.0805,0.0160,1.0807
0.5300,4439.5,106.939,14.449,1.0518,0.2709,1.0861
0.5310,4471.1,105.927,13.879,1.0119,0.5699,1.1614
0.5320,4503.0,104.958,13.769,0.9684,0.1102,0.9746
0.5330,4535.0,104.032,13.965,0.9260,0.1959,0.9465
0.5340,4567.2,103.148,14.965,0.8847,1.0000,1.3352
0.5350,4599.6,102.307,15.965,0.8407,1.0000,1.3065
0.5360,4632.2,101.517,16.257,0.7895,0.2927,0.8420
0.5370,4665.0,100.789,15.257,0.7285,1.0000,1.2372
0.5380,4697.9,100.130,14.782,0.6588,0.4755,0.8125
0.5390,4731.1,99.544,13.884,0.5856,0.8976,1.0718
0.5400,4764.4,99.027,14.277,0.5177,0.3928,0.6499
0.5410,4797.8,98.561,14.179,0.4653,0.0980,0.4755
0.5420,4831.4,98.124,14.201,0.4371,0.0220,0.4376
0.5430,4865.2,97.686,14.094,0.4385,0.1070,0.4513
0.5440,4899.1,97.214,14.223,0.4714,0.1291,0.4887
0.5450,4933.2,96.686,13.993,0.5283,0.2296,0.5760
0.5460,4967.4,96.088,13.715,0.5981,0.2782,0.6596
0.5470,5001.8,95.421,13.204,0.6669,0.5108,0.8400
0.5480,5036.3,94.703,13.291,0.7183,0.0869,0.7235
0.5490,5070.9,93.965,12.885,0.7383,0.4062,0.8426
0.5500,5105.6,93.243,12.362,0.7214,0.5229,0.8910
0.5510,5140.4,92.573,11.875,0.6699,0.4872,0.8283
0.5520,5175.4,91.980,11.622,0.5929,0.2529,0.6445
0.5530,5210.5,91.478,11.370,0.5021,0.2527,0.5621
0.5540,5245.7,91.066,11.242,0.4119,0.1272,0.4311
0.5550,5281.0,90.732,11.309,0.3345,0.0663,0.3410
0.5560,5316.3,90.458,11.466,0.2743,0.1569,0.3160
0.5570,5351.8,90.228,11.691,0.2300,0.2258,0.3223
0.5580,5387.4,90.030,11.803,0.1976,0.1115,0.2269
